review_text,rating,date,customer_type,cleaned_text,sentiment
The food was limited. Very disappointed with the service.,1,2025-05-31,Solo,the food was limited very disappointed with the service,Negative
The cleanliness was okay. Nothing special but met basic needs.,3,2025-09-30,Business,the cleanliness was okay nothing special but met basic needs,Neutral
The cleanliness was hygienic. Really enjoyed my stay!,4,2025-07-15,Solo,the cleanliness was hygienic really enjoyed my stay,Positive
The cleanliness was fresh. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-12-03,Business,the cleanliness was fresh really enjoyed my stay i would consider coming back if things improve,Positive
The staff was okay. Nothing special but met basic needs.,3,2025-05-07,Business,the staff was okay nothing special but met basic needs,Neutral
The room was comfortable. Really enjoyed my stay!,5,2025-07-08,Solo,the room was comfortable really enjoyed my stay,Positive
The food was expensive. Very disappointed with the service.,2,2025-10-08,Solo,the food was expensive very disappointed with the service,Negative
The room was bed. Really enjoyed my stay!,5,2025-03-14,Solo,the room was bed really enjoyed my stay,Positive
The food was cold. Very disappointed with the service.,1,2025-01-06,Group,the food was cold very disappointed with the service,Negative
The cleanliness was dusty. Very disappointed with the service.,2,2025-12-23,Solo,the cleanliness was dusty very disappointed with the service,Negative
The room was bed. Really enjoyed my stay!,4,2025-02-22,Solo,the room was bed really enjoyed my stay,Positive
The room was noisy. Very disappointed with the service.,2,2025-04-28,Solo,the room was noisy very disappointed with the service,Negative
The staff was unwelcoming. Very disappointed with the service.,2,2025-04-11,Group,the staff was unwelcoming very disappointed with the service,Negative
The staff was kind. Really enjoyed my stay!,4,2025-04-27,Family,the staff was kind really enjoyed my stay,Positive
The staff was kind. Really enjoyed my stay!,4,2025-11-19,Solo,the staff was kind really enjoyed my stay,Positive
The room was noisy. Very disappointed with the service.,1,2025-06-04,Couple,the room was noisy very disappointed with the service,Negative
The food was limited. Very disappointed with the service.,1,2025-10-07,Solo,the food was limited very disappointed with the service,Negative
The room was quiet. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-02-15,Business,the room was quiet really enjoyed my stay i would consider coming back if things improve,Positive
The staff was slow. Very disappointed with the service.,1,2025-03-04,Couple,the staff was slow very disappointed with the service,Negative
The cleanliness was okay. Nothing special but met basic needs.,3,2025-08-10,Group,the cleanliness was okay nothing special but met basic needs,Neutral
The room was comfortable. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-10-11,Business,the room was comfortable really enjoyed my stay i would consider coming back if things improve,Positive
The room was comfortable. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-06-13,Family,the room was comfortable really enjoyed my stay i would consider coming back if things improve,Positive
The room was comfortable. Really enjoyed my stay!,5,2025-11-20,Couple,the room was comfortable really enjoyed my stay,Positive
The food was okay. Nothing special but met basic needs.,3,2025-07-23,Family,the food was okay nothing special but met basic needs,Neutral
The food was tasty. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-07-02,Family,the food was tasty really enjoyed my stay i would consider coming back if things improve,Positive
The cleanliness was dirty. Very disappointed with the service.,2,2026-01-08,Couple,the cleanliness was dirty very disappointed with the service,Negative
The staff was okay. Nothing special but met basic needs.,3,2025-01-24,Business,the staff was okay nothing special but met basic needs,Neutral
The room was dirty. Very disappointed with the service.,2,2025-03-24,Couple,the room was dirty very disappointed with the service,Negative
The room was dirty. Very disappointed with the service.,2,2025-01-04,Business,the room was dirty very disappointed with the service,Negative
The food was buffet. Really enjoyed my stay!,4,2025-09-21,Solo,the food was buffet really enjoyed my stay,Positive
The food was cold. Very disappointed with the service.,1,2025-03-14,Group,the food was cold very disappointed with the service,Negative
The cleanliness was okay. Nothing special but met basic needs.,3,2025-03-21,Family,the cleanliness was okay nothing special but met basic needs,Neutral
The food was delicious. Really enjoyed my stay!,4,2025-06-25,Business,the food was delicious really enjoyed my stay,Positive
The food was breakfast. Really enjoyed my stay!,5,2025-03-27,Business,the food was breakfast really enjoyed my stay,Positive
The room was okay. Nothing special but met basic needs.,3,2025-11-30,Business,the room was okay nothing special but met basic needs,Neutral
The food was limited. Very disappointed with the service.,1,2025-07-24,Group,the food was limited very disappointed with the service,Negative
The staff was helpful. Really enjoyed my stay!,5,2025-05-14,Business,the staff was helpful really enjoyed my stay,Positive
The food was breakfast. Really enjoyed my stay!,4,2025-09-23,Group,the food was breakfast really enjoyed my stay,Positive
The cleanliness was dusty. Very disappointed with the service.,2,2025-04-26,Couple,the cleanliness was dusty very disappointed with the service,Negative
The room was bed. Really enjoyed my stay!,4,2025-02-15,Solo,the room was bed really enjoyed my stay,Positive
The food was cold. Very disappointed with the service. I would consider coming back if things improve.,2,2025-10-10,Business,the food was cold very disappointed with the service i would consider coming back if things improve,Negative
The cleanliness was fresh. Really enjoyed my stay!,4,2025-11-10,Family,the cleanliness was fresh really enjoyed my stay,Positive
The food was breakfast. Really enjoyed my stay!,4,2025-09-13,Business,the food was breakfast really enjoyed my stay,Positive
The staff was professional. Really enjoyed my stay!,4,2025-12-18,Family,the staff was professional really enjoyed my stay,Positive
The room was dirty. Very disappointed with the service.,1,2025-03-16,Solo,the room was dirty very disappointed with the service,Negative
The cleanliness was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-08-28,Couple,the cleanliness was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The room was quiet. Really enjoyed my stay! I would consider coming back if things improve.,4,2026-02-01,Group,the room was quiet really enjoyed my stay i would consider coming back if things improve,Positive
The staff was slow. Very disappointed with the service.,1,2025-10-13,Solo,the staff was slow very disappointed with the service,Negative
The staff was kind. Really enjoyed my stay!,5,2025-10-13,Group,the staff was kind really enjoyed my stay,Positive
The cleanliness was hygienic. Really enjoyed my stay!,5,2026-02-05,Business,the cleanliness was hygienic really enjoyed my stay,Positive
The room was clean. Really enjoyed my stay!,4,2025-04-03,Couple,the room was clean really enjoyed my stay,Positive
The food was delicious. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-01-22,Group,the food was delicious really enjoyed my stay i would consider coming back if things improve,Positive
The food was tasty. Really enjoyed my stay!,5,2025-03-27,Group,the food was tasty really enjoyed my stay,Positive
The staff was friendly. Really enjoyed my stay!,4,2025-04-18,Couple,the staff was friendly really enjoyed my stay,Positive
The cleanliness was dirty. Very disappointed with the service. I would consider coming back if things improve.,1,2025-09-19,Business,the cleanliness was dirty very disappointed with the service i would consider coming back if things improve,Negative
The staff was kind. Really enjoyed my stay!,5,2026-01-22,Solo,the staff was kind really enjoyed my stay,Positive
The room was okay. Nothing special but met basic needs.,3,2025-11-17,Couple,the room was okay nothing special but met basic needs,Neutral
The food was okay. Nothing special but met basic needs.,3,2025-12-27,Business,the food was okay nothing special but met basic needs,Neutral
The room was quiet. Really enjoyed my stay!,4,2025-01-27,Family,the room was quiet really enjoyed my stay,Positive
The cleanliness was spotless. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-11-22,Family,the cleanliness was spotless really enjoyed my stay i would consider coming back if things improve,Positive
The cleanliness was spotless. Really enjoyed my stay!,5,2025-04-23,Group,the cleanliness was spotless really enjoyed my stay,Positive
The staff was rude. Very disappointed with the service.,2,2025-04-28,Family,the staff was rude very disappointed with the service,Negative
The food was delicious. Really enjoyed my stay!,5,2025-01-23,Business,the food was delicious really enjoyed my stay,Positive
The food was delicious. Really enjoyed my stay!,5,2025-05-12,Family,the food was delicious really enjoyed my stay,Positive
The food was tasty. Really enjoyed my stay!,4,2025-06-30,Couple,the food was tasty really enjoyed my stay,Positive
The food was tasty. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-10-28,Couple,the food was tasty really enjoyed my stay i would consider coming back if things improve,Positive
The cleanliness was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-01-18,Group,the cleanliness was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The food was cold. Very disappointed with the service. I would consider coming back if things improve.,2,2025-05-03,Group,the food was cold very disappointed with the service i would consider coming back if things improve,Negative
The cleanliness was moldy. Very disappointed with the service.,1,2026-02-04,Group,the cleanliness was moldy very disappointed with the service,Negative
The cleanliness was fresh. Really enjoyed my stay!,4,2025-06-09,Family,the cleanliness was fresh really enjoyed my stay,Positive
The cleanliness was dirty. Very disappointed with the service.,1,2025-12-06,Solo,the cleanliness was dirty very disappointed with the service,Negative
The staff was friendly. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-11-12,Family,the staff was friendly really enjoyed my stay i would consider coming back if things improve,Positive
The staff was rude. Very disappointed with the service. I would consider coming back if things improve.,2,2025-07-27,Solo,the staff was rude very disappointed with the service i would consider coming back if things improve,Negative
The food was limited. Very disappointed with the service.,2,2025-08-27,Family,the food was limited very disappointed with the service,Negative
The cleanliness was fresh. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-06-16,Group,the cleanliness was fresh really enjoyed my stay i would consider coming back if things improve,Positive
The staff was kind. Really enjoyed my stay!,5,2025-09-08,Solo,the staff was kind really enjoyed my stay,Positive
The staff was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-07-13,Family,the staff was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The cleanliness was moldy. Very disappointed with the service.,1,2025-08-11,Family,the cleanliness was moldy very disappointed with the service,Negative
